mpg,cylinders,weight,acceleration,origin
18.0,8,3504,12.0,1
15.0,8,3693,11.5,1
18.0,8,3436,11.0,1
16.0,8,3433,12.0,1
17.0,8,3449,10.5,1
15.0,8,4341,10.0,1
14.0,8,4354,9.0,1
14.0,8,4312,8.5,1
14.0,8,4425,10.0,1
15.0,8,3850,8.5,1
15.0,8,3563,10.0,1
14.0,8,3609,8.0,1
15.0,8,3761,9.5,1
14.0,8,3086,10.0,1
24.0,4,2372,15.0,3
22.0,6,2833,15.5,1
18.0,6,2774,15.5,1
21.0,6,2587,16.0,1
27.0,4,2130,14.5,3
26.0,4,1835,20.5,2
25.0,4,2672,17.5,2
24.0,4,2430,14.5,2
25.0,4,2375,17.5,2
26.0,4,2234,12.5,2
21.0,6,2648,15.0,1
10.0,8,4615,14.0,1
10.0,8,4376,15.0,1
11.0,8,4382,13.5,1
9.0,8,4732,18.5,1
27.0,4,2130,14.5,3
28.0,4,2264,15.5,1
25.0,4,2228,14.0,3
25.0,4,2046,19.0,1
19.0,6,2634,13.0,1
16.0,6,3439,15.5,1
17.0,6,3329,15.5,1
19.0,6,3302,15.5,1
18.0,6,3288,15.5,1
14.0,8,4209,12.0,1
14.0,8,4464,11.5,1
14.0,8,4154,13.5,1
14.0,8,4096,13.0,1
12.0,8,4955,11.5,1
13.0,8,4746,12.0,1
13.0,8,5140,12.0,1
18.0,6,2962,13.5,1
22.0,4,2408,19.0,1
19.0,6,3282,15.0,1
18.0,6,3139,14.5,1
23.0,4,2220,14.0,1
28.0,4,2123,14.0,2
30.0,4,2074,19.5,2
30.0,4,2065,14.5,2
31.0,4,1773,19.0,3
35.0,4,1613,18.0,3
27.0,4,1834,19.0,2
26.0,4,1955,20.5,1
24.0,4,2278,15.5,3
25.0,4,2126,17.0,1
23.0,4,2254,23.5,2
20.0,4,2408,19.5,1
21.0,4,2226,16.5,1
13.0,8,4274,12.0,1
14.0,8,4385,12.0,1
15.0,8,4135,13.5,1
14.0,8,4129,13.0,1
17.0,8,3672,11.5,1
11.0,8,4633,11.0,1
13.0,8,4502,13.5,1
12.0,8,4456,13.5,1
13.0,8,4422,12.5,1
19.0,3,2330,13.5,3
15.0,8,3892,12.5,1
13.0,8,4098,14.0,1
13.0,8,4294,16.0,1
14.0,8,4077,14.0,1
18.0,4,2933,14.5,2
22.0,4,2511,18.0,2
21.0,4,2979,19.5,2
26.0,4,2189,18.0,2
22.0,4,2395,16.0,1
28.0,4,2288,17.0,3
23.0,4,2506,14.5,3
28.0,4,2164,15.0,1
27.0,4,2100,16.5,3
13.0,8,4100,13.0,1
14.0,8,3672,11.5,1
13.0,8,3988,13.0,1
14.0,8,4042,14.5,1
15.0,8,3777,12.5,1
12.0,8,4952,11.5,1
13.0,8,4464,12.0,1
13.0,8,4363,13.0,1
14.0,8,4237,14.5,1
13.0,8,4735,11.0,1
12.0,8,4951,11.0,1
13.0,8,3821,11.0,1
18.0,6,3121,16.5,1
16.0,6,3278,18.0,1
18.0,6,2945,16.0,1
18.0,6,3021,16.5,1
23.0,6,2904,16.0,1
26.0,4,1950,21.0,2
11.0,8,4997,14.0,1
12.0,8,4906,12.5,1
13.0,8,4654,13.0,1
12.0,8,4499,12.5,1
18.0,6,2789,15.0,1
20.0,4,2279,19.0,3
21.0,4,2401,19.5,1
22.0,4,2379,16.5,3
18.0,3,2124,13.5,3
19.0,4,2310,18.5,1
21.0,6,2472,14.0,1
26.0,4,2265,15.5,2
15.0,8,4082,13.0,1
16.0,8,4278,9.5,1
29.0,4,1867,19.5,2
24.0,4,2158,15.5,2
20.0,4,2582,14.0,2
19.0,4,2868,15.5,2
15.0,8,3399,11.0,1
24.0,4,2660,14.0,2
20.0,6,2807,13.5,3
11.0,8,3664,11.0,1
20.0,6,3102,16.5,1
21.0,6,2875,17.0,1
19.0,6,2901,16.0,1
15.0,6,3336,17.0,1
31.0,4,1950,19.0,3
26.0,4,2451,16.5,1
32.0,4,1836,21.0,3
25.0,4,2542,17.0,1
16.0,6,3781,17.0,1
16.0,6,3632,18.0,1
18.0,6,3613,16.5,1
16.0,8,4141,14.0,1
13.0,8,4699,14.5,1
14.0,8,4457,13.5,1
14.0,8,4638,16.0,1
14.0,8,4257,15.5,1
